Visão,Modelo,Acurácia,Precisão,Recall,F1-Score,F1-Macro
V1: Sintético → Sintético,Naive Bayes,0.8806,0.8811,0.8806,0.8807,0.8807
V1: Sintético → Sintético,Regressão Logística,0.8694,0.8701,0.8694,0.8693,0.8693
V1: Sintético → Sintético,SVM Linear,0.8833,0.8836,0.8833,0.8833,0.8833
V2: Real → Real,Naive Bayes,0.5167,0.5358,0.5167,0.521,0.521
V2: Real → Real,Regressão Logística,0.5444,0.5448,0.5444,0.5445,0.5445
V2: Real → Real,SVM Linear,0.55,0.5466,0.55,0.548,0.548
V3: Sintético → Real,Naive Bayes,0.3889,0.3357,0.3889,0.3475,0.3475
V3: Sintético → Real,Regressão Logística,0.4,0.3822,0.4,0.3877,0.3877
V3: Sintético → Real,SVM Linear,0.3806,0.3581,0.3806,0.3645,0.3645
V4: Real → Real (desbalanceado),Naive Bayes,0.7271,0.6877,0.7271,0.6436,0.3848
V4: Real → Real (desbalanceado),Regressão Logística,0.7472,0.7099,0.7472,0.7093,0.5205
V4: Real → Real (desbalanceado),SVM Linear,0.744,0.7049,0.744,0.7059,0.5192
V5: Sintético → Real (desbalanceado),Naive Bayes,0.4242,0.6127,0.4242,0.4711,0.3229
V5: Sintético → Real (desbalanceado),Regressão Logística,0.3999,0.6034,0.3999,0.453,0.3261
V5: Sintético → Real (desbalanceado),SVM Linear,0.4019,0.6065,0.4019,0.4547,0.325
