Visão,Modelo,Acurácia,Precisão,Recall,F1-Score,F1-Macro
V1: Sintético → Sintético,Naive Bayes,0.8889,0.888,0.8889,0.8882,0.8882
V1: Sintético → Sintético,Regressão Logística,0.8972,0.8968,0.8972,0.8969,0.8969
V1: Sintético → Sintético,SVM Linear,0.9111,0.9105,0.9111,0.9107,0.9107
V2: Real → Real,Naive Bayes,0.6222,0.6377,0.6222,0.625,0.625
V2: Real → Real,Regressão Logística,0.6083,0.6227,0.6083,0.6118,0.6118
V2: Real → Real,SVM Linear,0.5806,0.5864,0.5806,0.5816,0.5816
V3: Sintético → Real,Naive Bayes,0.4889,0.4234,0.4889,0.4042,0.4042
V3: Sintético → Real,Regressão Logística,0.4833,0.4569,0.4833,0.4024,0.4024
V3: Sintético → Real,SVM Linear,0.5028,0.4944,0.5028,0.4217,0.4217
V4: Real → Real (desbalanceado),Naive Bayes,0.8399,0.813,0.8399,0.8097,0.5483
V4: Real → Real (desbalanceado),Regressão Logística,0.8509,0.824,0.8509,0.8258,0.5844
V4: Real → Real (desbalanceado),SVM Linear,0.8459,0.8151,0.8459,0.8203,0.5735
V5: Sintético → Real (desbalanceado),Naive Bayes,0.6571,0.7279,0.6571,0.668,0.4502
V5: Sintético → Real (desbalanceado),Regressão Logística,0.6306,0.7099,0.6306,0.6439,0.4304
V5: Sintético → Real (desbalanceado),SVM Linear,0.627,0.716,0.627,0.6433,0.4335
