Visão,Modelo,Acurácia,Precisão,Recall,F1-Score,F1-Macro,Tempo (s)
V1: Sintético → Sintético,LSTM,0.8528,0.8524,0.8528,0.8522,0.8522,2.5
V2: Real → Real,LSTM,0.5611,0.5706,0.5611,0.5601,0.5601,1.9
V3: Sintético → Real,LSTM,0.4028,0.2837,0.4028,0.3166,0.3166,1.3
V4: Real → Real (desbalanceado),LSTM,0.8464,0.8325,0.8464,0.8386,0.6311,90.1
V5: Sintético → Real (desbalanceado),LSTM,0.5977,0.5962,0.5977,0.5955,0.3623,2.5
V1: Sintético → Sintético,BERT (Bertimbau),0.9722,0.9722,0.9722,0.9722,0.9722,56.0
V2: Real → Real,BERT (Bertimbau),0.6694,0.6676,0.6694,0.6684,0.6684,205.0
V3: Sintético → Real,BERT (Bertimbau),0.5889,0.5297,0.5889,0.4821,0.4821,176.4
V4: Real → Real (desbalanceado),BERT (Bertimbau),0.8717,0.8565,0.8717,0.8627,0.6659,1433.8
V5: Sintético → Real (desbalanceado),BERT (Bertimbau),0.8248,0.8113,0.8248,0.8095,0.5568,151.5
