Visão,Modelo,Acurácia,Precisão,Recall,F1-Score,F1-Macro,Tempo (s)
V1: Sintético → Sintético,LSTM,0.8527777777777777,0.852358257382174,0.8527777777777777,0.8522046558546789,0.8522046558546789,2.5
V2: Real → Real,LSTM,0.5611111111111111,0.5705721747388414,0.5611111111111111,0.5601180891035963,0.5601180891035963,1.9
V3: Sintético → Real,LSTM,0.4027777777777778,0.28366013071895424,0.4027777777777778,0.31658858858858857,0.31658858858858857,1.3
V4: Real → Real (desbalanceado),LSTM,0.8463617255529977,0.832520048134424,0.8463617255529977,0.8386091045867877,0.6311441549929614,90.1
V5: Sintético → Real (desbalanceado),LSTM,0.5976879191272145,0.5961548526263456,0.5976879191272145,0.5955414754371907,0.3622972337602229,2.5
V1: Sintético → Sintético,BERT (Bertimbau),0.9722222222222222,0.9721747652228936,0.9722222222222222,0.9721872100402977,0.9721872100402978,56.0
V2: Real → Real,BERT (Bertimbau),0.6694444444444444,0.667600173837462,0.6694444444444444,0.6683716524584518,0.6683716524584516,205.0
V3: Sintético → Real,BERT (Bertimbau),0.5888888888888889,0.529665071770335,0.5888888888888889,0.4820871533672892,0.4820871533672892,176.4
V4: Real → Real (desbalanceado),BERT (Bertimbau),0.8717345611049945,0.8564950522593447,0.8717345611049945,0.8626517284789329,0.6658615844303758,1433.8
V5: Sintético → Real (desbalanceado),BERT (Bertimbau),0.8247923130817736,0.8113192429149861,0.8247923130817736,0.8094939940071151,0.5567739086568099,151.5
