Visão,Modelo,Acurácia,Precisão,Recall,F1-Score,F1-Macro,Tempo (s)
V1: Sintético → Sintético,Naive Bayes,0.8889,0.888,0.8889,0.8882,0.8882,
V1: Sintético → Sintético,Regressão Logística,0.8972,0.8968,0.8972,0.8969,0.8969,
V1: Sintético → Sintético,SVM Linear,0.9111,0.9105,0.9111,0.9107,0.9107,
V1: Sintético → Sintético,LSTM,0.8528,0.8524,0.8528,0.8522,0.8522,2.5
V1: Sintético → Sintético,BERT (Bertimbau),0.9722,0.9722,0.9722,0.9722,0.9722,56.0
V2: Real → Real,Naive Bayes,0.6222,0.6377,0.6222,0.625,0.625,
V2: Real → Real,Regressão Logística,0.6083,0.6227,0.6083,0.6118,0.6118,
V2: Real → Real,SVM Linear,0.5806,0.5864,0.5806,0.5816,0.5816,
V2: Real → Real,LSTM,0.5611,0.5706,0.5611,0.5601,0.5601,1.9
V2: Real → Real,BERT (Bertimbau),0.6694,0.6676,0.6694,0.6684,0.6684,205.0
V3: Sintético → Real,Naive Bayes,0.4889,0.4234,0.4889,0.4042,0.4042,
V3: Sintético → Real,Regressão Logística,0.4833,0.4569,0.4833,0.4024,0.4024,
V3: Sintético → Real,SVM Linear,0.5028,0.4944,0.5028,0.4217,0.4217,
V3: Sintético → Real,LSTM,0.4028,0.2837,0.4028,0.3166,0.3166,1.3
V3: Sintético → Real,BERT (Bertimbau),0.5889,0.5297,0.5889,0.4821,0.4821,176.4
V4: Real → Real (desbalanceado),Naive Bayes,0.8399,0.813,0.8399,0.8097,0.5483,
V4: Real → Real (desbalanceado),Regressão Logística,0.8509,0.824,0.8509,0.8258,0.5844,
V4: Real → Real (desbalanceado),SVM Linear,0.8459,0.8151,0.8459,0.8203,0.5735,
V4: Real → Real (desbalanceado),LSTM,0.8464,0.8325,0.8464,0.8386,0.6311,90.1
V4: Real → Real (desbalanceado),BERT (Bertimbau),0.8717,0.8565,0.8717,0.8627,0.6659,1433.8
V5: Sintético → Real (desbalanceado),Naive Bayes,0.6571,0.7279,0.6571,0.668,0.4502,
V5: Sintético → Real (desbalanceado),Regressão Logística,0.6306,0.7099,0.6306,0.6439,0.4304,
V5: Sintético → Real (desbalanceado),SVM Linear,0.627,0.716,0.627,0.6433,0.4335,
V5: Sintético → Real (desbalanceado),LSTM,0.5977,0.5962,0.5977,0.5955,0.3623,2.5
V5: Sintético → Real (desbalanceado),BERT (Bertimbau),0.8248,0.8113,0.8248,0.8095,0.5568,151.5
