Visão,Modelo,Acurácia,Precisão,Recall,F1-Score,F1-Macro,Tempo (s)
V1: Sintético → Sintético,Naive Bayes,0.8806,0.8811,0.8806,0.8807,0.8807,
V1: Sintético → Sintético,Regressão Logística,0.8694,0.8701,0.8694,0.8693,0.8693,
V1: Sintético → Sintético,SVM Linear,0.8833,0.8836,0.8833,0.8833,0.8833,
V1: Sintético → Sintético,LSTM,0.8139,0.8216,0.8139,0.814,0.814,4.1
V1: Sintético → Sintético,BERT (Bertimbau),0.975,0.9753,0.975,0.9749,0.9749,134.2
V2: Real → Real,Naive Bayes,0.5167,0.5358,0.5167,0.521,0.521,
V2: Real → Real,Regressão Logística,0.5444,0.5448,0.5444,0.5445,0.5445,
V2: Real → Real,SVM Linear,0.55,0.5466,0.55,0.548,0.548,
V2: Real → Real,LSTM,0.4028,0.4068,0.4028,0.3923,0.3923,3.6
V2: Real → Real,BERT (Bertimbau),0.6028,0.6068,0.6028,0.6042,0.6042,141.7
V3: Sintético → Real,Naive Bayes,0.3889,0.3357,0.3889,0.3475,0.3475,
V3: Sintético → Real,Regressão Logística,0.4,0.3822,0.4,0.3877,0.3877,
V3: Sintético → Real,SVM Linear,0.3806,0.3581,0.3806,0.3645,0.3645,
V3: Sintético → Real,LSTM,0.3611,0.3815,0.3611,0.3483,0.3483,2.6
V3: Sintético → Real,BERT (Bertimbau),0.5,0.466,0.5,0.471,0.471,87.9
V4: Real → Real (desbalanceado),Naive Bayes,0.7271,0.6877,0.7271,0.6436,0.3848,
V4: Real → Real (desbalanceado),Regressão Logística,0.7472,0.7099,0.7472,0.7093,0.5205,
V4: Real → Real (desbalanceado),SVM Linear,0.744,0.7049,0.744,0.7059,0.5192,
V4: Real → Real (desbalanceado),LSTM,0.7348,0.7137,0.7348,0.7199,0.5489,135.1
V4: Real → Real (desbalanceado),BERT (Bertimbau),0.7788,0.7586,0.7788,0.7646,0.6229,2146.5
V5: Sintético → Real (desbalanceado),Naive Bayes,0.4242,0.6127,0.4242,0.4711,0.3229,
V5: Sintético → Real (desbalanceado),Regressão Logística,0.3999,0.6034,0.3999,0.453,0.3261,
V5: Sintético → Real (desbalanceado),SVM Linear,0.4019,0.6065,0.4019,0.4547,0.325,
V5: Sintético → Real (desbalanceado),LSTM,0.3739,0.5876,0.3739,0.4213,0.2713,3.0
V5: Sintético → Real (desbalanceado),BERT (Bertimbau),0.5716,0.6322,0.5716,0.5895,0.4262,352.0
